x,y,yaw,ref_v
-52.52808752,36.938,-1.570582493,4.585693193
-52.52551955,36.718,-1.559124257,4.569119115
-52.5206407,36.498,-1.548623361,4.553746983
-52.51171015,36.234,-1.536981388,4.540805291
-52.50168559,36.014,-1.525261624,4.527536213
-52.48653194,35.75,-1.513459076,4.516743483
-52.46850739,35.49333334,-1.500685885,4.506589265
-52.44721253,35.23666666,-1.488018944,4.497283385
-52.42262216,34.98,-1.475281226,4.488740232
-52.39471041,34.72333334,-1.462474902,4.48086423
-52.36345048,34.46666666,-1.449601275,4.473506082
-52.32881443,34.21,-1.436660968,4.466447262
-52.31054189,34.08383237,-1.426968882,4.455464153
-52.29138134,33.95728118,-1.420532069,4.444720394
-52.27133089,33.83042397,-1.41403785,4.434126336
-52.25039072,33.70334021,-1.407489169,4.423657226
-52.2287645,33.57726155,-1.400919921,4.413327239
-52.20631786,33.45137552,-1.394341563,4.403246576
-52.18294189,33.32512236,-1.387718032,4.393526663
-52.13882542,33.09867547,-1.378386101,4.387583744
-52.10403849,32.9296058,-1.367873298,4.379918214
-52.05568654,32.70648977,-1.357384247,4.374840297
-52.00465406,32.48392003,-1.345404678,4.370176892
-51.95094819,32.26196071,-1.333396387,4.365917535
-51.89419805,32.03922,-1.321322798,4.362111869
-51.83462566,31.81673435,-1.30917501,4.358709017
